	BbigeminaBOND	BbovisT2Bo	BmicrotiRI	Candersoni30847	Ccayetanensis	CfelisWinnie	ChominisTU502	CmurisRN66	CparvumIowaII	Cubiquitum39726	CveliaCCMP2878	EacervulinaHoughton	EfalciformisB	EmaximaW	EmitisH	EnecatrixH	EtenellaH	GniphandrodesUnknown	HhammondiH	NcaninumL	PbergheiANKA	Pchabaudichabaudi	PcoatneyiHackeri	PcynomolgiB	Pfalciparum3D7	PfragileNilgiri	PgaboniSY75	Pgallinaceum8A	PinuiSanAntonio1	PknowlesiH	PmalariaeUG01	PovalecurtisiGH01	PreichenowiCDC	PrelictumSGS1	PvinckeipetteriCR	PvivaxSal1	Pyoeliiyoelii17X	SneuronaSN3	TannulataAnkara	TgondiiVEG	TorientalisShintoku	TparvaMuguga	VbrassicaformisCCMP3155
OG0015502	BBBOND_0200750-t26_1-p1																																										
OG0015503	BBBOND_0200760-t26_1-p1																																										
OG0015504	BBBOND_0201080-t26_1-p1																																										
OG0015505	BBBOND_0201350-t26_1-p1																																										
OG0015506	BBBOND_0201610-t26_1-p1																																										
OG0015507	BBBOND_0201680-t26_1-p1																																										
OG0015508	BBBOND_0201700-t26_1-p1																																										
OG0015509	BBBOND_0201920-t26_1-p1																																										
OG0015510	BBBOND_0201940-t26_1-p1																																										
OG0015511	BBBOND_0202260-t26_1-p1																																										
OG0015512	BBBOND_0202430-t26_1-p1																																										
OG0015513	BBBOND_0202490-t26_1-p1																																										
OG0015514	BBBOND_0202500-t26_1-p1																																										
OG0015515	BBBOND_0202560-t26_1-p1																																										
OG0015516	BBBOND_0202940-t26_1-p1																																										
OG0015517	BBBOND_0203160-t26_1-p1																																										
OG0015518	BBBOND_0203170-t26_1-p1																																										
OG0015519	BBBOND_0203240-t26_1-p1																																										
OG0015520	BBBOND_0203350-t26_1-p1																																										
OG0015521	BBBOND_0203380-t26_1-p1																																										
OG0015522	BBBOND_0203450-t26_1-p1																																										
OG0015523	BBBOND_0203600-t26_1-p1																																										
OG0015524	BBBOND_0203720-t26_1-p1																																										
OG0015525	BBBOND_0203870-t26_1-p1																																										
OG0015526	BBBOND_0203940-t26_1-p1																																										
OG0015527	BBBOND_0204170-t26_1-p1																																										
OG0015528	BBBOND_0204250-t26_1-p1																																										
OG0015529	BBBOND_0204270-t26_1-p1																																										
OG0015530	BBBOND_0204420-t26_1-p1																																										
OG0015531	BBBOND_0204440-t26_1-p1																																										
OG0015532	BBBOND_0204450-t26_1-p1																																										
OG0015533	BBBOND_0204550-t26_1-p1																																										
OG0015534	BBBOND_0204570-t26_1-p1																																										
OG0015535	BBBOND_0205290-t26_1-p1																																										
OG0015536	BBBOND_0205300-t26_1-p1																																										
OG0015537	BBBOND_0205480-t26_1-p1																																										
OG0015538	BBBOND_0205500-t26_1-p1																																										
OG0015539	BBBOND_0205660-t26_1-p1																																										
OG0015540	BBBOND_0205840-t26_1-p1																																										
OG0015541	BBBOND_0205950-t26_1-p1																																										
OG0015542	BBBOND_0205960-t26_1-p1																																										
OG0015543	BBBOND_0205970-t26_1-p1																																										
OG0015544	BBBOND_0205980-t26_1-p1																																										
OG0015545	BBBOND_0206100-t26_1-p1																																										
OG0015546	BBBOND_0206220-t26_1-p1																																										
OG0015547	BBBOND_0206240-t26_1-p1																																										
OG0015548	BBBOND_0206260-t26_1-p1																																										
OG0015549	BBBOND_0206460-t26_1-p1																																										
OG0015550	BBBOND_0206540-t26_1-p1																																										
OG0015551	BBBOND_0206560-t26_1-p1																																										
OG0015552	BBBOND_0206740-t26_1-p1																																										
OG0015553	BBBOND_0206950-t26_1-p1																																										
OG0015554	BBBOND_0207020-t26_1-p1																																										
OG0015555	BBBOND_0207030-t26_1-p1																																										
OG0015556	BBBOND_0207040-t26_1-p1																																										
OG0015557	BBBOND_0207050-t26_1-p1																																										
OG0015558	BBBOND_0207320-t26_1-p1																																										
OG0015559	BBBOND_0207400-t26_1-p1																																										
OG0015560	BBBOND_0207440-t26_1-p1																																										
OG0015561	BBBOND_0207600-t26_1-p1																																										
OG0015562	BBBOND_0207700-t26_1-p1																																										
OG0015563	BBBOND_0207830-t26_1-p1																																										
OG0015564	BBBOND_0207860-t26_1-p1																																										
OG0015565	BBBOND_0207920-t26_1-p1																																										
OG0015566	BBBOND_0208050-t26_1-p1																																										
OG0015567	BBBOND_0208090-t26_1-p1																																										
OG0015568	BBBOND_0208130-t26_1-p1																																										
OG0015569	BBBOND_0208150-t26_1-p1																																										
OG0015570	BBBOND_0208170-t26_1-p1																																										
OG0015571	BBBOND_0208200-t26_1-p1																																										
OG0015572	BBBOND_0208360-t26_1-p1																																										
OG0015573	BBBOND_0208550-t26_1-p1																																										
OG0015574	BBBOND_0208560-t26_1-p1																																										
OG0015575	BBBOND_0208580-t26_1-p1																																										
OG0015576	BBBOND_0208640-t26_1-p1																																										
OG0015577	BBBOND_0208710-t26_1-p1																																										
OG0015578	BBBOND_0208800-t26_1-p1																																										
OG0015579	BBBOND_0208880-t26_1-p1																																										
OG0015580	BBBOND_0208930-t26_1-p1																																										
OG0015581	BBBOND_0208950-t26_1-p1																																										
OG0015582	BBBOND_0208960-t26_1-p1																																										
OG0015583	BBBOND_0208990-t26_1-p1																																										
OG0015584	BBBOND_0209260-t26_1-p1																																										
OG0015585	BBBOND_0209270-t26_1-p1																																										
OG0015586	BBBOND_0209310-t26_1-p1																																										
OG0015587	BBBOND_0209410-t26_1-p1																																										
OG0015588	BBBOND_0209620-t26_1-p1																																										
OG0015589	BBBOND_0209630-t26_1-p1																																										
OG0015590	BBBOND_0209660-t26_1-p1																																										
OG0015591	BBBOND_0209670-t26_1-p1																																										
OG0015592	BBBOND_0209690-t26_1-p1																																										
OG0015593	BBBOND_0209700-t26_1-p1																																										
OG0015594	BBBOND_0209710-t26_1-p1																																										
OG0015595	BBBOND_0209720-t26_1-p1																																										
OG0015596	BBBOND_0209920-t26_1-p1																																										
OG0015597	BBBOND_0209940-t26_1-p1																																										
OG0015598	BBBOND_0209950-t26_1-p1																																										
OG0015599	BBBOND_0209990-t26_1-p1																																										
OG0015600	BBBOND_0210610-t26_1-p1																																										
OG0015601	BBBOND_0210640-t26_1-p1																																										
OG0015602	BBBOND_0210670-t26_1-p1																																										
OG0015603	BBBOND_0210800-t26_1-p1																																										
OG0015604	BBBOND_0210810-t26_1-p1																																										
OG0015605	BBBOND_0210830-t26_1-p1																																										
OG0015606	BBBOND_0210840-t26_1-p1																																										
OG0015607	BBBOND_0210930-t26_1-p1																																										
OG0015608	BBBOND_0211020-t26_1-p1																																										
OG0015609	BBBOND_0211030-t26_1-p1																																										
OG0015610	BBBOND_0211150-t26_1-p1																																										
OG0015611	BBBOND_0211160-t26_1-p1																																										
OG0015612	BBBOND_0211370-t26_1-p1																																										
OG0015613	BBBOND_0211380-t26_1-p1																																										
OG0015614	BBBOND_0211450-t26_1-p1																																										
OG0015615	BBBOND_0211530-t26_1-p1																																										
OG0015616	BBBOND_0211730-t26_1-p1																																										
OG0015617	BBBOND_0211740-t26_1-p1																																										
OG0015618	BBBOND_0211780-t26_1-p1																																										
OG0015619	BBBOND_0211790-t26_1-p1																																										
OG0015620	BBBOND_0211800-t26_1-p1																																										
OG0015621	BBBOND_0211900-t26_1-p1																																										
OG0015622	BBBOND_0211970-t26_1-p1																																										
OG0015623	BBBOND_0212180-t26_1-p1																																										
OG0015624	BBBOND_0212230-t26_1-p1																																										
OG0015625	BBBOND_0212240-t26_1-p1																																										
OG0015626	BBBOND_0212270-t26_1-p1																																										
OG0015627	BBBOND_0212280-t26_1-p1																																										
OG0015628	BBBOND_0212300-t26_1-p1																																										
OG0015629	BBBOND_0212330-t26_1-p1																																										
OG0015630	BBBOND_0300130-t26_1-p1																																										
OG0015631	BBBOND_0300140-t26_1-p1																																										
OG0015632	BBBOND_0300250-t26_1-p1																																										
OG0015633	BBBOND_0300540-t26_1-p1																																										
OG0015634	BBBOND_0300570-t26_1-p1																																										
OG0015635	BBBOND_0300590-t26_1-p1																																										
OG0015636	BBBOND_0300610-t26_1-p1																																										
OG0015637	BBBOND_0300680-t26_1-p1																																										
OG0015638	BBBOND_0300690-t26_1-p1																																										
OG0015639	BBBOND_0300720-t26_1-p1																																										
OG0015640	BBBOND_0300920-t26_1-p1																																										
OG0015641	BBBOND_0301170-t26_1-p1																																										
OG0015642	BBBOND_0301310-t26_1-p1																																										
OG0015643	BBBOND_0301350-t26_1-p1																																										
OG0015644	BBBOND_0301510-t26_1-p1																																										
OG0015645	BBBOND_0301720-t26_1-p1																																										
OG0015646	BBBOND_0302030-t26_1-p1																																										
OG0015647	BBBOND_0302050-t26_1-p1																																										
OG0015648	BBBOND_0302200-t26_1-p1																																										
OG0015649	BBBOND_0302310-t26_1-p1																																										
OG0015650	BBBOND_0302590-t26_1-p1																																										
OG0015651	BBBOND_0302880-t26_1-p1																																										
OG0015652	BBBOND_0303050-t26_1-p1																																										
OG0015653	BBBOND_0303080-t26_1-p1																																										
OG0015654	BBBOND_0303280-t26_1-p1																																										
OG0015655	BBBOND_0303410-t26_1-p1																																										
OG0015656	BBBOND_0303520-t26_1-p1																																										
OG0015657	BBBOND_0303810-t26_1-p1																																										
OG0015658	BBBOND_0303820-t26_1-p1																																										
OG0015659	BBBOND_0303900-t26_1-p1																																										
OG0015660	BBBOND_0303910-t26_1-p1																																										
OG0015661	BBBOND_0304090-t26_1-p1																																										
OG0015662	BBBOND_0304130-t26_1-p1																																										
OG0015663	BBBOND_0304150-t26_1-p1																																										
OG0015664	BBBOND_0304200-t26_1-p1																																										
OG0015665	BBBOND_0304210-t26_1-p1																																										
OG0015666	BBBOND_0304290-t26_1-p1																																										
OG0015667	BBBOND_0304340-t26_1-p1																																										
OG0015668	BBBOND_0304370-t26_1-p1																																										
OG0015669	BBBOND_0304480-t26_1-p1																																										
OG0015670	BBBOND_0304540-t26_1-p1																																										
OG0015671	BBBOND_0304550-t26_1-p1																																										
OG0015672	BBBOND_0304630-t26_1-p1																																										
OG0015673	BBBOND_0304680-t26_1-p1																																										
OG0015674	BBBOND_0304780-t26_1-p1																																										
OG0015675	BBBOND_0304800-t26_1-p1																																										
OG0015676	BBBOND_0304820-t26_1-p1																																										
OG0015677	BBBOND_0304910-t26_1-p1																																										
OG0015678	BBBOND_0305010-t26_1-p1																																										
OG0015679	BBBOND_0305030-t26_1-p1																																										
OG0015680	BBBOND_0305060-t26_1-p1																																										
OG0015681	BBBOND_0305100-t26_1-p1																																										
OG0015682	BBBOND_0305120-t26_1-p1																																										
OG0015683	BBBOND_0305150-t26_1-p1																																										
OG0015684	BBBOND_0305330-t26_1-p1																																										
OG0015685	BBBOND_0305390-t26_1-p1																																										
OG0015686	BBBOND_0305410-t26_1-p1																																										
OG0015687	BBBOND_0305480-t26_1-p1																																										
OG0015688	BBBOND_0305490-t26_1-p1																																										
OG0015689	BBBOND_0305620-t26_1-p1																																										
OG0015690	BBBOND_0305780-t26_1-p1																																										
OG0015691	BBBOND_0305840-t26_1-p1																																										
OG0015692	BBBOND_0306060-t26_1-p1																																										
OG0015693	BBBOND_0306170-t26_1-p1																																										
OG0015694	BBBOND_0306200-t26_1-p1																																										
OG0015695	BBBOND_0306260-t26_1-p1																																										
OG0015696	BBBOND_0306270-t26_1-p1																																										
OG0015697	BBBOND_0306330-t26_1-p1																																										
OG0015698	BBBOND_0306390-t26_1-p1																																										
OG0015699	BBBOND_0306830-t26_1-p1																																										
OG0015700	BBBOND_0306970-t26_1-p1																																										
OG0015701	BBBOND_0307270-t26_1-p1																																										
OG0015702	BBBOND_0307280-t26_1-p1																																										
OG0015703	BBBOND_0307290-t26_1-p1																																										
OG0015704	BBBOND_0307370-t26_1-p1																																										
OG0015705	BBBOND_0307610-t26_1-p1																																										
OG0015706	BBBOND_0307660-t26_1-p1																																										
OG0015707	BBBOND_0307670-t26_1-p1																																										
OG0015708	BBBOND_0307680-t26_1-p1																																										
OG0015709	BBBOND_0307840-t26_1-p1																																										
OG0015710	BBBOND_0307870-t26_1-p1																																										
OG0015711	BBBOND_0307890-t26_1-p1																																										
OG0015712	BBBOND_0308130-t26_1-p1																																										
OG0015713	BBBOND_0308140-t26_1-p1																																										
OG0015714	BBBOND_0308160-t26_1-p1																																										
OG0015715	BBBOND_0308180-t26_1-p1																																										
OG0015716	BBBOND_0308280-t26_1-p1																																										
OG0015717	BBBOND_0308420-t26_1-p1																																										
OG0015718	BBBOND_0308430-t26_1-p1																																										
OG0015719	BBBOND_0308460-t26_1-p1																																										
OG0015720	BBBOND_0308490-t26_1-p1																																										
OG0015721	BBBOND_0308830-t26_1-p1																																										
OG0015722	BBBOND_0308880-t26_1-p1																																										
OG0015723	BBBOND_0309040-t26_1-p1																																										
OG0015724	BBBOND_0309070-t26_1-p1																																										
OG0015725	BBBOND_0309160-t26_1-p1																																										
OG0015726	BBBOND_0309180-t26_1-p1																																										
OG0015727	BBBOND_0309190-t26_1-p1																																										
OG0015728	BBBOND_0309200-t26_1-p1																																										
OG0015729	BBBOND_0309210-t26_1-p1																																										
OG0015730	BBBOND_0309380-t26_1-p1																																										
OG0015731	BBBOND_0309420-t26_1-p1																																										
OG0015732	BBBOND_0309430-t26_1-p1																																										
OG0015733	BBBOND_0309440-t26_1-p1																																										
OG0015734	BBBOND_0309680-t26_1-p1																																										
OG0015735	BBBOND_0309700-t26_1-p1																																										
OG0015736	BBBOND_0309710-t26_1-p1																																										
OG0015737	BBBOND_0309850-t26_1-p1																																										
OG0015738	BBBOND_0309990-t26_1-p1																																										
OG0015739	BBBOND_0310030-t26_1-p1																																										
OG0015740	BBBOND_0310040-t26_1-p1																																										
OG0015741	BBBOND_0310130-t26_1-p1																																										
OG0015742	BBBOND_0310240-t26_1-p1																																										
OG0015743	BBBOND_0310260-t26_1-p1																																										
OG0015744	BBBOND_0310270-t26_1-p1																																										
OG0015745	BBBOND_0310450-t26_1-p1																																										
OG0015746	BBBOND_0310480-t26_1-p1																																										
OG0015747	BBBOND_0310490-t26_1-p1																																										
OG0015748	BBBOND_0310530-t26_1-p1																																										
OG0015749	BBBOND_0310550-t26_1-p1																																										
OG0015750	BBBOND_0310640-t26_1-p1																																										
OG0015751	BBBOND_0310660-t26_1-p1																																										
OG0015752	BBBOND_0310840-t26_1-p1																																										
OG0015753	BBBOND_0310890-t26_1-p1																																										
OG0015754	BBBOND_0310900-t26_1-p1																																										
OG0015755	BBBOND_0311140-t26_1-p1																																										
OG0015756	BBBOND_0311160-t26_1-p1																																										
OG0015757	BBBOND_0311210-t26_1-p1																																										
OG0015758	BBBOND_0311420-t26_1-p1																																										
OG0015759	BBBOND_0311700-t26_1-p1																																										
OG0015760	BBBOND_0311770-t26_1-p1																																										
OG0015761	BBBOND_0311780-t26_1-p1																																										
OG0015762	BBBOND_0311790-t26_1-p1																																										
OG0015763	BBBOND_0311800-t26_1-p1																																										
OG0015764	BBBOND_0311820-t26_1-p1																																										
OG0015765	BBBOND_0312080-t26_1-p1																																										
OG0015766	BBBOND_0312090-t26_1-p1																																										
OG0015767	BBBOND_0312130-t26_1-p1																																										
OG0015768	BBBOND_0312260-t26_1-p1																																										
OG0015769	BBBOND_0312450-t26_1-p1																																										
OG0015770	BBBOND_0312460-t26_1-p1																																										
OG0015771	BBBOND_0312480-t26_1-p1																																										
OG0015772	BBBOND_0312570-t26_1-p1																																										
OG0015773	BBBOND_0312890-t26_1-p1																																										
OG0015774	BBBOND_0312930-t26_1-p1																																										
OG0015775	BBBOND_0312950-t26_1-p1																																										
OG0015776	BBBOND_0313080-t26_1-p1																																										
OG0015777	BBBOND_0313360-t26_1-p1																																										
OG0015778	BBBOND_0313370-t26_1-p1																																										
OG0015779	BBBOND_0313550-t26_1-p1																																										
OG0015780	BBBOND_0313710-t26_1-p1																																										
OG0015781	BBBOND_0313740-t26_1-p1																																										
OG0015782	BBBOND_0313760-t26_1-p1																																										
OG0015783	BBBOND_0313790-t26_1-p1																																										
OG0015784	BBBOND_0313800-t26_1-p1																																										
OG0015785	BBBOND_0400040-t26_1-p1																																										
OG0015786	BBBOND_0400270-t26_1-p1																																										
OG0015787	BBBOND_0400470-t26_1-p1																																										
OG0015788	BBBOND_0400550-t26_1-p1																																										
OG0015789	BBBOND_0400860-t26_1-p1																																										
OG0015790	BBBOND_0400950-t26_1-p1																																										
OG0015791	BBBOND_0400970-t26_1-p1																																										
OG0015792	BBBOND_0400980-t26_1-p1																																										
OG0015793	BBBOND_0401020-t26_1-p1																																										
OG0015794	BBBOND_0401070-t26_1-p1																																										
OG0015795	BBBOND_0401460-t26_1-p1																																										
OG0015796	BBBOND_0401640-t26_1-p1																																										
OG0015797	BBBOND_0401850-t26_1-p1																																										
OG0015798	BBBOND_0402010-t26_1-p1																																										
OG0015799	BBBOND_0402040-t26_1-p1																																										
OG0015800	BBBOND_0402150-t26_1-p1																																										
OG0015801	BBBOND_0402240-t26_1-p1																																										
OG0015802	BBBOND_0402320-t26_1-p1																																										
OG0015803	BBBOND_0402380-t26_1-p1																																										
OG0015804	BBBOND_0402560-t26_1-p1																																										
OG0015805	BBBOND_0402630-t26_1-p1																																										
OG0015806	BBBOND_0402870-t26_1-p1																																										
OG0015807	BBBOND_0402970-t26_1-p1																																										
OG0015808	BBBOND_0402980-t26_1-p1																																										
OG0015809	BBBOND_0403180-t26_1-p1																																										
OG0015810	BBBOND_0403200-t26_1-p1																																										
OG0015811	BBBOND_0403210-t26_1-p1																																										
OG0015812	BBBOND_0403420-t26_1-p1																																										
OG0015813	BBBOND_0403830-t26_1-p1																																										
OG0015814	BBBOND_0403870-t26_1-p1																																										
OG0015815	BBBOND_0403930-t26_1-p1																																										
OG0015816	BBBOND_0403950-t26_1-p1																																										
OG0015817	BBBOND_0403980-t26_1-p1																																										
OG0015818	BBBOND_0404080-t26_1-p1																																										
OG0015819	BBBOND_0404280-t26_1-p1																																										
OG0015820	BBBOND_0404340-t26_1-p1																																										
OG0015821	BBBOND_0404420-t26_1-p1																																										
OG0015822	BBBOND_0404500-t26_1-p1																																										
OG0015823	BBBOND_0404710-t26_1-p1																																										
OG0015824	BBBOND_0405140-t26_1-p1																																										
OG0015825	BBBOND_0405250-t26_1-p1																																										
OG0015826	BBBOND_0405500-t26_1-p1																																										
OG0015827	BBBOND_0405560-t26_1-p1																																										
OG0015828	BBBOND_0405660-t26_1-p1																																										
OG0015829	BBBOND_0405870-t26_1-p1																																										
OG0015830	BBBOND_0000020-t26_1-p1																																										
OG0015831	BBBOND_0000070-t26_1-p1																																										
OG0015832	BBBOND_0000180-t26_1-p1																																										
OG0015833	BBBOND_0000210-t26_1-p1																																										
OG0015834	BBBOND_0000310-t26_1-p1																																										
OG0015835	BBBOND_0000360-t26_1-p1																																										
OG0015836	BBBOND_0000580-t26_1-p1																																										
OG0015837	BBBOND_0000600-t26_1-p1																																										
OG0015838	BBBOND_0000730-t26_1-p1																																										
OG0015839	BBBOND_0000890-t26_1-p1																																										
OG0015840	BBBOND_0001120-t26_1-p1																																										
OG0015841	BBBOND_0001290-t26_1-p1																																										
OG0015842	BBBOND_0001400-t26_1-p1																																										
OG0015843	BBBOND_0001480-t26_1-p1																																										
OG0015844	BBBOND_0001490-t26_1-p1																																										
OG0015845	BBBOND_0001540-t26_1-p1																																										
OG0015846	BBBOND_0001860-t26_1-p1																																										
OG0015847	BBBOND_0001950-t26_1-p1																																										
OG0015848	BBBOND_0001980-t26_1-p1																																										
OG0015849	BBBOND_0002190-t26_1-p1																																										
OG0015850	BBBOND_0002240-t26_1-p1																																										
OG0015851	BBBOND_0002280-t26_1-p1																																										
OG0015852	BBBOND_0002350-t26_1-p1																																										
OG0015853	BBBOND_0002810-t26_1-p1																																										
OG0015854	BBBOND_0003020-t26_1-p1																																										
OG0015855	BBBOND_0003370-t26_1-p1																																										
OG0015856	BBBOND_0003570-t26_1-p1																																										
OG0015857	BBBOND_0003650-t26_1-p1																																										
OG0015858	BBBOND_0003820-t26_1-p1																																										
OG0015859	BBBOND_0003830-t26_1-p1																																										
OG0015860	BBBOND_0004060-t26_1-p1																																										
OG0015861	BBBOND_0004300-t26_1-p1																																										
OG0015862	BBBOND_0004380-t26_1-p1																																										
OG0015863	BBBOND_0004450-t26_1-p1																																										
OG0015864	BBBOND_0004750-t26_1-p1																																										
OG0015865	BBBOND_0004950-t26_1-p1																																										
OG0015866	BBBOND_0004990-t26_1-p1																																										
