,Species Group,Number of Orthogroups,Number of genes,List of orthogroups,Sequence Name,Sequence Length,GOID,GOcount,GOterm,GOcategory,tophitGI,tophitaccession,Blast.Top.Hit.HSPs.Description,Blast.Top.Hit.E.Value,Blast.Top.Hit.Similarity,Interpro.Accession,Interpro.Type,Interpro.Name
18,NA,NA,NA,NA,PCYB_005360-t26_1-p1,169,,NA,,,457877065;389561573,XP_004228005;GAB69787,"gi|457877065|ref|XP_004228005.1|hypothetical protein PCYB_005360, partial [Plasmodium cynomolgi strain B]/gi|389561573|dbj|GAB69787.1|hypothetical protein PCYB_005360, partial [Plasmodium cynomolgi strain B]",9.90E-120,100.00%,,,
19,NA,NA,NA,NA,PCYB_005450-t26_1-p1,235,,NA,,,457877146;389561601,XP_004228014;GAB69796,"gi|457877146|ref|XP_004228014.1|hypothetical protein PCYB_005450, partial [Plasmodium cynomolgi strain B]/gi|389561601|dbj|GAB69796.1|hypothetical protein PCYB_005450, partial [Plasmodium cynomolgi strain B]",7.40E-170,100.00%,,,
20,NA,NA,NA,NA,PCYB_005460-t26_1-p1,360,GO:0016021,1,integral component of membrane,Cellular Component,457877153;389561603,XP_004228015;GAB69797,gi|389561603|dbj|GAB69797.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457877153|ref|XP_004228015.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
21,NA,NA,NA,NA,PCYB_005480-t26_1-p1,299,,NA,,,389561613;457877171,GAB69799;XP_004228017,"gi|457877171|ref|XP_004228017.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|389561613|dbj|GAB69799.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",0,100.00%,,,
22,NA,NA,NA,NA,PCYB_005490-t26_1-p1,187,GO:0016020,1,membrane,Cellular Component,457877176;389561616,XP_004228018;GAB69800,gi|457877176|ref|XP_004228018.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|389561616|dbj|GAB69800.1|CYIR protein [Plasmodium cynomolgi strain B],2.80E-132,100.00%,,,
23,NA,NA,NA,NA,PCYB_005760-t26_1-p1,277,,NA,,,457877421;389561697,XP_004228045;GAB69827,gi|457877421|ref|XP_004228045.1|hypothetical protein PCYB_005760 [Plasmodium cynomolgi strain B]/gi|389561697|dbj|GAB69827.1|hypothetical protein PCYB_005760 [Plasmodium cynomolgi strain B],0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
24,NA,NA,NA,NA,PCYB_005800-t26_1-p1,219,,NA,,,389561705;457877457,XP_004228049;GAB69831,gi|457877457|ref|XP_004228049.1|hypothetical protein PCYB_005800 [Plasmodium cynomolgi strain B]/gi|389561705|dbj|GAB69831.1|hypothetical protein PCYB_005800 [Plasmodium cynomolgi strain B],2.30E-154,100.00%,,,
25,NA,NA,NA,NA,PCYB_006180-t26_1-p1,261,,NA,,,457877811;389561841,XP_004228087;GAB69869,gi|389561841|dbj|GAB69869.1|hypothetical protein PCYB_006180 [Plasmodium cynomolgi strain B]/gi|457877811|ref|XP_004228087.1|hypothetical protein PCYB_006180 [Plasmodium cynomolgi strain B],0,100.00%,noIPR,FAMILY,Plasmodium vivax Vir
26,NA,NA,NA,NA,PCYB_006190-t26_1-p1,410,,NA,,,457877816;389561852,XP_004228088;GAB69870,"gi|389561852|dbj|GAB69870.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|457877816|ref|XP_004228088.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",0,100.00%,IPR008780;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
27,NA,NA,NA,NA,PCYB_006450-t26_1-p1,394,,NA,,,457878040;389561964,XP_004228114;GAB69896,"gi|389561964|dbj|GAB69896.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|457878040|ref|XP_004228114.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
28,NA,NA,NA,NA,PCYB_006530-t26_1-p1,294,,NA,,,389561994;457878124,XP_004228122;GAB69904,"gi|389561994|dbj|GAB69904.1|hypothetical protein PCYB_006530, partial [Plasmodium cynomolgi strain B]/gi|457878124|ref|XP_004228122.1|hypothetical protein PCYB_006530, partial [Plasmodium cynomolgi strain B]",0,100.00%,noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
29,NA,NA,NA,NA,PCYB_007030-t26_1-p1,362,,NA,,,389562172;457878615,XP_004228172;GAB69954,"gi|457878615|ref|XP_004228172.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|389562172|dbj|GAB69954.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",0,100.00%,noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
30,NA,NA,NA,NA,PCYB_008250-t26_1-p1,158,GO:0016020,1,membrane,Cellular Component,457879192;389562765,XP_004228294;GAB70076,"gi|389562765|dbj|GAB70076.1|hypothetical protein PCYB_008250, partial [Plasmodium cynomolgi strain B]/gi|457879192|ref|XP_004228294.1|hypothetical protein PCYB_008250, partial [Plasmodium cynomolgi strain B]",2.50E-106,100.00%,,,
31,P.cynomolgi and P.ovale,4,123,"""OG0000345"" ""OG0002487"" ""OG0005656"" ""OG0007913""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,PCYB_021030-t26_1-p1,260,GO:0016021,1,integral component of membrane,Cellular Component,457867155;389581813,GAB64534;XP_004220501,gi|389581813|dbj|GAB64534.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B]/gi|457867155|ref|XP_004220501.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
33,NA,NA,NA,NA,PCYB_033040-t26_1-p1,246,GO:0016021,1,integral component of membrane,Cellular Component,457868203;389582338,GAB64893;XP_004221024,gi|389582338|dbj|GAB64893.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B]/gi|457868203|ref|XP_004221024.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B],4.20E-180,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
34,NA,NA,NA,NA,PCYB_053820-t26_1-p1,104,,NA,,,457868778;389582626,GAB65364;XP_004221311,"gi|457868778|ref|XP_004221311.1|VIR-like CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|389582626|dbj|GAB65364.1|VIR-like CYIR protein, partial [Plasmodium cynomolgi strain B]",2.60E-71,100.00%,IPR008780;noIPR,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
35,NA,NA,NA,NA,PCYB_053860-t26_1-p1,304,GO:0016020,1,membrane,Cellular Component,457868786;389582630,GAB65368;XP_004221315,gi|389582630|dbj|GAB65368.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B]/gi|457868786|ref|XP_004221315.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
36,NA,NA,NA,NA,PCYB_061010-t26_1-p1,367,GO:0016021,1,integral component of membrane,Cellular Component,389582632;457868789,XP_004221316;GAB65369,"gi|389582632|dbj|GAB65369.1|VIR-like CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|457868789|ref|XP_004221316.1|VIR-like CYIR protein, partial [Plasmodium cynomolgi strain B]",0,100.00%,IPR008780;noIPR,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
37,NA,NA,NA,NA,PCYB_104200-t26_1-p1,121,GO:0016021,1,integral component of membrane,Cellular Component,457872195;389584337,XP_004223017;GAB67070,"gi|389584337|dbj|GAB67070.1|VIR-like CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|457872195|ref|XP_004223017.1|VIR-like CYIR protein, partial [Plasmodium cynomolgi strain B]",5.50E-83,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
38,NA,NA,NA,NA,PCYB_104280-t26_1-p1,187,GO:0016021,1,integral component of membrane,Cellular Component,389584345;457872211,XP_004223025;GAB67078,gi|457872211|ref|XP_004223025.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B]/gi|389584345|dbj|GAB67078.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B],5.40E-135,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
39,NA,NA,NA,NA,PCYB_111020-t26_1-p1,166,,NA,,,457872218;389584349,XP_004223028;GAB67081,gi|457872218|ref|XP_004223028.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B]/gi|389584349|dbj|GAB67081.1|VIR-like CYIR protein [Plasmodium cynomolgi strain B],2.60E-113,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
40,NA,NA,NA,NA,PCYB_001210-t26_1-p1,491,GO:0016021,1,integral component of membrane,Cellular Component,457879254;389586646,XP_004228319;GAB69373,gi|457879254|ref|XP_004228319.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|389586646|dbj|GAB69373.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,IPR008780;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
41,NA,NA,NA,NA,PCYB_001320-t26_1-p1,316,GO:0016020,1,membrane,Cellular Component,457873634;389560465,XP_004227607;GAB69384,"gi|389560465|dbj|GAB69384.1|hypothetical protein PCYB_001320, partial [Plasmodium cynomolgi strain B]/gi|457873634|ref|XP_004227607.1|hypothetical protein PCYB_001320, partial [Plasmodium cynomolgi strain B]",0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
42,NA,NA,NA,NA,PCYB_001390-t26_1-p1,366,GO:0016021,1,integral component of membrane,Cellular Component,457879275;389586658,XP_004228328;GAB69391,"gi|457879275|ref|XP_004228328.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|389586658|dbj|GAB69391.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",0,100.00%,IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
43,NA,NA,NA,NA,PCYB_001570-t26_1-p1,164,GO:0016021,1,integral component of membrane,Cellular Component,457873739;389560499,GAB69409;XP_004227627,gi|389560499|dbj|GAB69409.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457873739|ref|XP_004227627.1|CYIR protein [Plasmodium cynomolgi strain B],4.70E-112,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
44,NA,NA,NA,NA,PCYB_001610-t26_1-p1,127,GO:0016021,1,integral component of membrane,Cellular Component,389560505;457873749,GAB69413;XP_004227631,gi|389560505|dbj|GAB69413.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457873749|ref|XP_004227631.1|CYIR protein [Plasmodium cynomolgi strain B],4.20E-86,100.00%,noIPR;IPR008780,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
45,NA,NA,NA,NA,PCYB_001620-t26_1-p1,267,GO:0016021,1,integral component of membrane,Cellular Component,457873752;389560507,XP_004227632;GAB69414,gi|457873752|ref|XP_004227632.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|389560507|dbj|GAB69414.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,noIPR;IPR008780,FAMILY;FAMILY,Variant antigen yir/bir/cir;Plasmodium vivax Vir
46,NA,NA,NA,NA,PCYB_001650-t26_1-p1,436,GO:0016021,1,integral component of membrane,Cellular Component,389560512;457873796,GAB69417;XP_004227635,gi|389560512|dbj|GAB69417.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457873796|ref|XP_004227635.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,IPR008780;noIPR,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
47,NA,NA,NA,NA,PCYB_001770-t26_1-p1,284,GO:0016020,1,membrane,Cellular Component,457873903;389560535,XP_004227647;GAB69429,gi|457873903|ref|XP_004227647.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|389560535|dbj|GAB69429.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
48,NA,NA,NA,NA,PCYB_001890-t26_1-p1,194,,NA,,,457873971;389560561,GAB69441;XP_004227659,gi|457873971|ref|XP_004227659.1|hypothetical protein PCYB_001890 [Plasmodium cynomolgi strain B]/gi|389560561|dbj|GAB69441.1|hypothetical protein PCYB_001890 [Plasmodium cynomolgi strain B],2.40E-137,100.00%,IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
49,NA,NA,NA,NA,PCYB_002050-t26_1-p1,357,GO:0016021,1,integral component of membrane,Cellular Component,389560592;457874087,GAB69456;XP_004227674,"gi|389560592|dbj|GAB69456.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|457874087|ref|XP_004227674.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",0,100.00%,noIPR;IPR008780,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
50,NA,NA,NA,NA,PCYB_002190-t26_1-p1,203,,NA,,,389560624;457874230,GAB69470;XP_004227688,"gi|457874230|ref|XP_004227688.1|hypothetical protein PCYB_002190, partial [Plasmodium cynomolgi strain B]/gi|389560624|dbj|GAB69470.1|hypothetical protein PCYB_002190, partial [Plasmodium cynomolgi strain B]",5.70E-142,100.00%,,,
51,NA,NA,NA,NA,PCYB_002660-t26_1-p1,121,GO:0016021,1,integral component of membrane,Cellular Component,389560728;457874612,XP_004227735;GAB69517,"gi|457874612|ref|XP_004227735.1|hypothetical protein PCYB_002660, partial [Plasmodium cynomolgi strain B]/gi|389560728|dbj|GAB69517.1|hypothetical protein PCYB_002660, partial [Plasmodium cynomolgi strain B]",5.30E-82,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
52,NA,NA,NA,NA,PCYB_002690-t26_1-p1,147,GO:0016020,1,membrane,Cellular Component,389560735;457874643,GAB69520;XP_004227738,gi|389560735|dbj|GAB69520.1|hypothetical protein PCYB_002690 [Plasmodium cynomolgi strain B]/gi|457874643|ref|XP_004227738.1|hypothetical protein PCYB_002690 [Plasmodium cynomolgi strain B],2.40E-100,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
53,NA,NA,NA,NA,PCYB_002780-t26_1-p1,181,GO:0016020,1,membrane,Cellular Component,457874728;389560762,GAB69529;XP_004227747,gi|389560762|dbj|GAB69529.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457874728|ref|XP_004227747.1|CYIR protein [Plasmodium cynomolgi strain B],1.80E-130,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
54,NA,NA,NA,NA,PCYB_002910-t26_1-p1,359,GO:0016021,1,integral component of membrane,Cellular Component,457874847;389560800,XP_004227760;GAB69542,gi|457874847|ref|XP_004227760.1|hypothetical protein PCYB_002910 [Plasmodium cynomolgi strain B]/gi|389560800|dbj|GAB69542.1|hypothetical protein PCYB_002910 [Plasmodium cynomolgi strain B],0,100.00%,IPR008780;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
55,NA,NA,NA,NA,PCYB_002980-t26_1-p1,320,GO:0016020,1,membrane,Cellular Component,457874906;389560819,XP_004227767;GAB69549,gi|389560819|dbj|GAB69549.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457874906|ref|XP_004227767.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
56,NA,NA,NA,NA,PCYB_003460-t26_1-p1,158,GO:0016020,1,membrane,Cellular Component,389560961;457875333,GAB69597;XP_004227815,"gi|389560961|dbj|GAB69597.1|hypothetical protein PCYB_003460, partial [Plasmodium cynomolgi strain B]/gi|457875333|ref|XP_004227815.1|hypothetical protein PCYB_003460, partial [Plasmodium cynomolgi strain B]",4.50E-113,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
57,NA,NA,NA,NA,PCYB_003520-t26_1-p1,145,GO:0016021,1,integral component of membrane,Cellular Component,457875389;389560976,XP_004227821;GAB69603,gi|389560976|dbj|GAB69603.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457875389|ref|XP_004227821.1|CYIR protein [Plasmodium cynomolgi strain B],7.10E-104,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
58,NA,NA,NA,NA,PCYB_003630-t26_1-p1,293,GO:0016021,1,integral component of membrane,Cellular Component,457875483;389561009,XP_004227832;GAB69614,gi|389561009|dbj|GAB69614.1|hypothetical protein PCYB_003630 [Plasmodium cynomolgi strain B]/gi|457875483|ref|XP_004227832.1|hypothetical protein PCYB_003630 [Plasmodium cynomolgi strain B],0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
59,NA,NA,NA,NA,PCYB_003670-t26_1-p1,216,,NA,,,389561020;457875519,XP_004227836;GAB69618,"gi|457875519|ref|XP_004227836.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|389561020|dbj|GAB69618.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",1.20E-154,100.00%,IPR008780;noIPR,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
60,NA,NA,NA,NA,PCYB_004180-t26_1-p1,364,GO:0016021,1,integral component of membrane,Cellular Component,457875998;389561181,XP_004227887;GAB69669,"gi|457875998|ref|XP_004227887.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|389561181|dbj|GAB69669.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",0,100.00%,IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
61,NA,NA,NA,NA,PCYB_004250-t26_1-p1,330,GO:0016021,1,integral component of membrane,Cellular Component,389561209;457876063,XP_004227894;GAB69676,gi|389561209|dbj|GAB69676.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457876063|ref|XP_004227894.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
62,NA,NA,NA,NA,PCYB_004300-t26_1-p1,98,GO:0016021,1,integral component of membrane,Cellular Component,389561224;457876108,GAB69681;XP_004227899,gi|389561224|dbj|GAB69681.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457876108|ref|XP_004227899.1|CYIR protein [Plasmodium cynomolgi strain B],2.60E-66,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
63,NA,NA,NA,NA,PCYB_004310-t26_1-p1,295,,NA,,,389561230;457876117,XP_004227900;GAB69682,gi|457876117|ref|XP_004227900.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|389561230|dbj|GAB69682.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
64,NA,NA,NA,NA,PCYB_004360-t26_1-p1,130,GO:0016021,1,integral component of membrane,Cellular Component,389561242;457876162,GAB69687;XP_004227905,gi|389561242|dbj|GAB69687.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457876162|ref|XP_004227905.1|CYIR protein [Plasmodium cynomolgi strain B],2.40E-90,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
