,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,[INTERPRO],PCYB_005460-t26_1-p1,| transcript=PCYB_005460-t26_1 | gene=PCYB_005460 | organism=Plasmodium_cynomolgi_strain_B | gene_product=CYIR protein | transcript_product=CYIR protein | location=DF157848:205-1335(-) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding,360,,,,,,,,,Coil (COILS); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,[INTERPRO],PCYB_005480-t26_1-p1,| transcript=PCYB_005480-t26_1 | gene=PCYB_005480 | organism=Plasmodium_cynomolgi_strain_B | gene_product=CYIR protein | transcript_product=CYIR protein | location=DF157856:605-1504(+) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding,299,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,[INTERPRO],PCYB_005490-t26_1-p1,| transcript=PCYB_005490-t26_1 | gene=PCYB_005490 | organism=Plasmodium_cynomolgi_strain_B | gene_product=CYIR protein | transcript_product=CYIR protein | location=DF157858:325-1023(+) | protein_length=187 | sequence_SO=supercontig | SO=protein_coding,187,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,[INTERPRO],PCYB_005760-t26_1-p1,| transcript=PCYB_005760-t26_1 | gene=PCYB_005760 | organism=Plasmodium_cynomolgi_strain_B | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=DF157912:100-1117(+) | protein_length=277 | sequence_SO=supercontig | SO=protein_coding,277,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,[INTERPRO],PCYB_005800-t26_1-p1,| transcript=PCYB_005800-t26_1 | gene=PCYB_005800 | organism=Plasmodium_cynomolgi_strain_B | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=DF157916:714-1517(-) | protein_length=219 | sequence_SO=supercontig | SO=protein_coding,219,,,,,,,,,Coil (COILS),no GO terms,no GO terms
TRUE,[INTERPRO],PCYB_006180-t26_1-p1,| transcript=PCYB_006180-t26_1 | gene=PCYB_006180 | organism=Plasmodium_cynomolgi_strain_B | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=DF158014:19-1020(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding,261,,,,,,,,,Coil (COILS),no GO terms,no GO terms
TRUE,[INTERPRO],PCYB_006190-t26_1-p1,| transcript=PCYB_006190-t26_1 | gene=PCYB_006190 | organism=Plasmodium_cynomolgi_strain_B | gene_product=CYIR protein | transcript_product=CYIR protein | location=DF158024:32-1404(-) | protein_length=410 | sequence_SO=supercontig | SO=protein_coding,410,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,[INTERPRO],PCYB_006450-t26_1-p1,| transcript=PCYB_006450-t26_1 | gene=PCYB_006450 | organism=Plasmodium_cynomolgi_strain_B | gene_product=CYIR protein | transcript_product=CYIR protein | location=DF158110:86-1409(+) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding,394,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_006530-t26_1-p1,SICA antigen,294,20,0,51.32,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_007030-t26_1-p1,VIR protein,362,20,0,62.36,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,Coil (COILS); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",PCYB_008250-t26_1-p1,VIR protein,158,20,2.23E-106,72.45,1,C:GO:0016020,C:membrane,,,no IPS match,no IPS match,no IPS match
"P.cynomolgi,P.ovale",,,,,,,,,,,,,,,
TRUE,"[INTERPRO, NO-BLAST]",PCYB_021030-t26_1-p1,---NA---,260,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_033040-t26_1-p1,---NA---,246,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_053820-t26_1-p1,---NA---,104,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_053860-t26_1-p1,---NA---,304,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_061010-t26_1-p1,---NA---,367,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_104200-t26_1-p1,---NA---,121,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_104280-t26_1-p1,---NA---,187,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_111020-t26_1-p1,---NA---,166,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_001210-t26_1-p1,---NA---,491,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_001320-t26_1-p1,---NA---,316,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_001390-t26_1-p1,---NA---,366,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_001570-t26_1-p1,---NA---,164,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_001610-t26_1-p1,---NA---,127,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_001620-t26_1-p1,---NA---,267,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_001650-t26_1-p1,---NA---,436,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_001770-t26_1-p1,---NA---,284,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_001890-t26_1-p1,---NA---,194,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_002050-t26_1-p1,---NA---,357,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_002190-t26_1-p1,---NA---,203,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PCYB_002660-t26_1-p1,---NA---,121,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_002690-t26_1-p1,---NA---,147,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_002780-t26_1-p1,---NA---,181,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_002910-t26_1-p1,---NA---,359,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_002980-t26_1-p1,---NA---,320,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_003460-t26_1-p1,---NA---,158,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_003520-t26_1-p1,---NA---,145,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_003630-t26_1-p1,---NA---,293,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_003670-t26_1-p1,---NA---,216,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_004180-t26_1-p1,---NA---,364,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_004250-t26_1-p1,---NA---,330,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_004300-t26_1-p1,---NA---,98,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_004310-t26_1-p1,---NA---,295,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_004360-t26_1-p1,---NA---,130,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_004410-t26_1-p1,---NA---,63,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PCYB_004480-t26_1-p1,---NA---,250,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PCYB_004640-t26_1-p1,---NA---,364,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_004740-t26_1-p1,---NA---,102,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_005030-t26_1-p1,---NA---,101,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_005710-t26_1-p1,---NA---,377,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_005720-t26_1-p1,---NA---,147,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_005870-t26_1-p1,---NA---,250,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_006080-t26_1-p1,---NA---,150,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_006110-t26_1-p1,---NA---,109,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_006620-t26_1-p1,---NA---,144,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_006630-t26_1-p1,---NA---,220,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_006840-t26_1-p1,---NA---,78,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_007140-t26_1-p1,---NA---,138,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_007270-t26_1-p1,---NA---,129,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_007990-t26_1-p1,---NA---,206,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_008000-t26_1-p1,---NA---,327,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_008030-t26_1-p1,---NA---,215,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PCYB_008090-t26_1-p1,---NA---,229,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00074900.1-p1,---NA---,350,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00086900.1-p1,---NA---,348,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00091400.1-p1,---NA---,364,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00092000.1-p1,---NA---,352,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00094000.1-p1,---NA---,399,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00021800.1-p1,---NA---,349,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00022100.1-p1,---NA---,356,,,,,,,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00096600.1-p1,---NA---,306,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00022950.1-p1,---NA---,342,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00107000.1-p1,---NA---,356,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00108200.1-p1,---NA---,356,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00110600.1-p1,---NA---,357,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00111400.1-p1,---NA---,364,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00027500.1-p1,---NA---,345,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00125900.1-p1,---NA---,330,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00126600.1-p1,---NA---,350,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00128300.1-p1,---NA---,429,,,,,,,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00133200.1-p1,---NA---,344,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00138950.1-p1,---NA---,282,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00139900.1-p1,---NA---,287,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00146500.1-p1,---NA---,143,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00148100.1-p1,---NA---,359,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00013000.1-p1,---NA---,340,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00152700.1-p1,---NA---,361,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00155700.1-p1,---NA---,88,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00033800.1-p1,---NA---,362,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00033900.1-p1,---NA---,360,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00034000.1-p1,---NA---,364,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00034100.1-p1,---NA---,360,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00157300.1-p1,---NA---,343,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00158800.1-p1,---NA---,356,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00160500.1-p1,---NA---,338,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00164250.1-p1,---NA---,315,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00165900.1-p1,---NA---,316,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00169300.1-p1,---NA---,319,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00172000.1-p1,---NA---,370,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00172300.1-p1,---NA---,300,,,,,,,,,mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00177100.1-p1,---NA---,366,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00177800.1-p1,---NA---,359,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00040900.1-p1,---NA---,355,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00181000.1-p1,---NA---,358,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00181500.1-p1,---NA---,365,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00187200.1-p1,---NA---,358,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00190100.1-p1,---NA---,359,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00192300.1-p1,---NA---,214,,,,,,,,,IPR006477 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00192400.1-p1,---NA---,319,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00198600.1-p1,---NA---,357,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00200500.1-p1,---NA---,339,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00203100.1-p1,---NA---,410,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00206000.1-p1,---NA---,277,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00206100.1-p1,---NA---,369,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00207200.1-p1,---NA---,336,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00049100.1-p1,---NA---,361,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00208100.1-p1,---NA---,191,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00210700.1-p1,---NA---,360,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00216800.1-p1,---NA---,360,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00222300.1-p1,---NA---,359,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",PocGH01_00228300.1-p1,---NA---,316,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
