,Species Group,Number of Orthogroups,Number of genes,Sequence Name,Sequence Length,GOID,Gocount,Goterm,Gocategory,tophitGI,tophitaccession,List of orthogroups
23,NA,NA,NA,PCYB_005760-t26_1-p1,277,,NA,,,457877421;389561697,XP_004228045;GAB69827,NA
24,NA,NA,NA,PCYB_005800-t26_1-p1,219,,NA,,,389561705;457877457,XP_004228049;GAB69831,NA
25,NA,NA,NA,PCYB_006180-t26_1-p1,261,,NA,,,457877811;389561841,XP_004228087;GAB69869,NA
26,NA,NA,NA,PCYB_006190-t26_1-p1,410,,NA,,,457877816;389561852,XP_004228088;GAB69870,NA
27,NA,NA,NA,PCYB_006450-t26_1-p1,394,,NA,,,457878040;389561964,XP_004228114;GAB69896,NA
28,NA,NA,NA,PCYB_006530-t26_1-p1,294,,NA,,,389561994;457878124,XP_004228122;GAB69904,NA
29,NA,NA,NA,PCYB_007030-t26_1-p1,362,,NA,,,389562172;457878615,XP_004228172;GAB69954,NA
30,NA,NA,NA,PCYB_008250-t26_1-p1,158,GO:0016020,1,membrane,Cellular Component,457879192;389562765,XP_004228294;GAB70076,NA
31,P.cynomolgi and P.ovale,4,123,NA,NA,NA,NA,NA,NA,NA,NA,"""OG0000345"" ""OG0002487"" ""OG0005656"" ""OG0007913"""
32,NA,NA,NA,PCYB_021030-t26_1-p1,260,GO:0016021,1,integral component of membrane,Cellular Component,457867155;389581813,GAB64534;XP_004220501,NA
33,NA,NA,NA,PCYB_033040-t26_1-p1,246,GO:0016021,1,integral component of membrane,Cellular Component,457868203;389582338,GAB64893;XP_004221024,NA
34,NA,NA,NA,PCYB_053820-t26_1-p1,104,,NA,,,457868778;389582626,GAB65364;XP_004221311,NA
35,NA,NA,NA,PCYB_053860-t26_1-p1,304,GO:0016020,1,membrane,Cellular Component,457868786;389582630,GAB65368;XP_004221315,NA
36,NA,NA,NA,PCYB_061010-t26_1-p1,367,GO:0016021,1,integral component of membrane,Cellular Component,389582632;457868789,XP_004221316;GAB65369,NA
37,NA,NA,NA,PCYB_104200-t26_1-p1,121,GO:0016021,1,integral component of membrane,Cellular Component,457872195;389584337,XP_004223017;GAB67070,NA
38,NA,NA,NA,PCYB_104280-t26_1-p1,187,GO:0016021,1,integral component of membrane,Cellular Component,389584345;457872211,XP_004223025;GAB67078,NA
39,NA,NA,NA,PCYB_111020-t26_1-p1,166,,NA,,,457872218;389584349,XP_004223028;GAB67081,NA
40,NA,NA,NA,PCYB_001210-t26_1-p1,491,GO:0016021,1,integral component of membrane,Cellular Component,457879254;389586646,XP_004228319;GAB69373,NA
41,NA,NA,NA,PCYB_001320-t26_1-p1,316,GO:0016020,1,membrane,Cellular Component,457873634;389560465,XP_004227607;GAB69384,NA
42,NA,NA,NA,PCYB_001390-t26_1-p1,366,GO:0016021,1,integral component of membrane,Cellular Component,457879275;389586658,XP_004228328;GAB69391,NA
43,NA,NA,NA,PCYB_001570-t26_1-p1,164,GO:0016021,1,integral component of membrane,Cellular Component,457873739;389560499,GAB69409;XP_004227627,NA
44,NA,NA,NA,PCYB_001610-t26_1-p1,127,GO:0016021,1,integral component of membrane,Cellular Component,389560505;457873749,GAB69413;XP_004227631,NA
45,NA,NA,NA,PCYB_001620-t26_1-p1,267,GO:0016021,1,integral component of membrane,Cellular Component,457873752;389560507,XP_004227632;GAB69414,NA
46,NA,NA,NA,PCYB_001650-t26_1-p1,436,GO:0016021,1,integral component of membrane,Cellular Component,389560512;457873796,GAB69417;XP_004227635,NA
47,NA,NA,NA,PCYB_001770-t26_1-p1,284,GO:0016020,1,membrane,Cellular Component,457873903;389560535,XP_004227647;GAB69429,NA
48,NA,NA,NA,PCYB_001890-t26_1-p1,194,,NA,,,457873971;389560561,GAB69441;XP_004227659,NA
49,NA,NA,NA,PCYB_002050-t26_1-p1,357,GO:0016021,1,integral component of membrane,Cellular Component,389560592;457874087,GAB69456;XP_004227674,NA
50,NA,NA,NA,PCYB_002190-t26_1-p1,203,,NA,,,389560624;457874230,GAB69470;XP_004227688,NA
51,NA,NA,NA,PCYB_002660-t26_1-p1,121,GO:0016021,1,integral component of membrane,Cellular Component,389560728;457874612,XP_004227735;GAB69517,NA
52,NA,NA,NA,PCYB_002690-t26_1-p1,147,GO:0016020,1,membrane,Cellular Component,389560735;457874643,GAB69520;XP_004227738,NA
53,NA,NA,NA,PCYB_002780-t26_1-p1,181,GO:0016020,1,membrane,Cellular Component,457874728;389560762,GAB69529;XP_004227747,NA
54,NA,NA,NA,PCYB_002910-t26_1-p1,359,GO:0016021,1,integral component of membrane,Cellular Component,457874847;389560800,XP_004227760;GAB69542,NA
55,NA,NA,NA,PCYB_002980-t26_1-p1,320,GO:0016020,1,membrane,Cellular Component,457874906;389560819,XP_004227767;GAB69549,NA
56,NA,NA,NA,PCYB_003460-t26_1-p1,158,GO:0016020,1,membrane,Cellular Component,389560961;457875333,GAB69597;XP_004227815,NA
57,NA,NA,NA,PCYB_003520-t26_1-p1,145,GO:0016021,1,integral component of membrane,Cellular Component,457875389;389560976,XP_004227821;GAB69603,NA
58,NA,NA,NA,PCYB_003630-t26_1-p1,293,GO:0016021,1,integral component of membrane,Cellular Component,457875483;389561009,XP_004227832;GAB69614,NA
59,NA,NA,NA,PCYB_003670-t26_1-p1,216,,NA,,,389561020;457875519,XP_004227836;GAB69618,NA
60,NA,NA,NA,PCYB_004180-t26_1-p1,364,GO:0016021,1,integral component of membrane,Cellular Component,457875998;389561181,XP_004227887;GAB69669,NA
61,NA,NA,NA,PCYB_004250-t26_1-p1,330,GO:0016021,1,integral component of membrane,Cellular Component,389561209;457876063,XP_004227894;GAB69676,NA
62,NA,NA,NA,PCYB_004300-t26_1-p1,98,GO:0016021,1,integral component of membrane,Cellular Component,389561224;457876108,GAB69681;XP_004227899,NA
63,NA,NA,NA,PCYB_004310-t26_1-p1,295,,NA,,,389561230;457876117,XP_004227900;GAB69682,NA
64,NA,NA,NA,PCYB_004360-t26_1-p1,130,GO:0016021,1,integral component of membrane,Cellular Component,389561242;457876162,GAB69687;XP_004227905,NA
65,NA,NA,NA,PCYB_004410-t26_1-p1,63,,NA,,,457876207;389561255,GAB69692;XP_004227910,NA
66,NA,NA,NA,PCYB_004480-t26_1-p1,250,GO:0016021,1,integral component of membrane,Cellular Component,389561272;457876280,XP_004227917;GAB69699,NA
67,NA,NA,NA,PCYB_004640-t26_1-p1,364,GO:0016021,1,integral component of membrane,Cellular Component,457876409;389561324,XP_004227933;GAB69715,NA
68,NA,NA,NA,PCYB_004740-t26_1-p1,102,GO:0016021,1,integral component of membrane,Cellular Component,389561358;457876503,XP_004227943;GAB69725,NA
69,NA,NA,NA,PCYB_005030-t26_1-p1,101,GO:0016021,1,integral component of membrane,Cellular Component,457876782;389561460,XP_004227972;GAB69754,NA
70,NA,NA,NA,PCYB_005710-t26_1-p1,377,GO:0016020,1,membrane,Cellular Component,457877374;389561678,XP_004228040;GAB69822,NA
71,NA,NA,NA,PCYB_005720-t26_1-p1,147,GO:0016021,1,integral component of membrane,Cellular Component,389561684;457877383,XP_004228041;GAB69823,NA
72,NA,NA,NA,PCYB_005870-t26_1-p1,250,GO:0016020,1,membrane,Cellular Component,457877518;389561727,XP_004228056;GAB69838,NA
73,NA,NA,NA,PCYB_006080-t26_1-p1,150,,NA,,,389561819;457877717,XP_004228077;GAB69859,NA
74,NA,NA,NA,PCYB_006110-t26_1-p1,109,GO:0016020,1,membrane,Cellular Component,457877746;389561827,XP_004228080;GAB69862,NA
75,NA,NA,NA,PCYB_006620-t26_1-p1,144,GO:0016021,1,integral component of membrane,Cellular Component,457878217;389562017,XP_004228131;GAB69913,NA
76,NA,NA,NA,PCYB_006630-t26_1-p1,220,,NA,,,457878226;389562021,XP_004228132;GAB69914,NA
77,NA,NA,NA,PCYB_006840-t26_1-p1,78,GO:0016021,1,integral component of membrane,Cellular Component,389562109;457878400,XP_004228153;GAB69935,NA
78,NA,NA,NA,PCYB_007140-t26_1-p1,138,GO:0016021,1,integral component of membrane,Cellular Component,457878722;389562208,XP_004228183;GAB69965,NA
79,NA,NA,NA,PCYB_007270-t26_1-p1,129,GO:0016021,1,integral component of membrane,Cellular Component,457878847;389562275,XP_004228196;GAB69978,NA
80,NA,NA,NA,PCYB_007990-t26_1-p1,206,GO:0016021,1,integral component of membrane,Cellular Component,457879114;389562649,XP_004228268;GAB70050,NA
81,NA,NA,NA,PCYB_008000-t26_1-p1,327,GO:0016021,1,integral component of membrane,Cellular Component,457879117;389562656,XP_004228269;GAB70051,NA
82,NA,NA,NA,PCYB_008030-t26_1-p1,215,GO:0016021,1,integral component of membrane,Cellular Component,389562668;457879126,XP_004228272;GAB70054,NA
83,NA,NA,NA,PCYB_008090-t26_1-p1,229,GO:0016021,1,integral component of membrane,Cellular Component,457879144;389562688,XP_004228278;GAB70060,NA
84,NA,NA,NA,PocGH01_00074900.1-p1,350,GO:0016021,1,integral component of membrane,Cellular Component,1114640976,SBT82942,NA
85,NA,NA,NA,PocGH01_00086900.1-p1,348,GO:0016021,1,integral component of membrane,Cellular Component,1114640844;1037169694,SBS99651;SBT83078,NA
86,NA,NA,NA,PocGH01_00091400.1-p1,364,GO:0016021,1,integral component of membrane,Cellular Component,1114640801,SCA48156,NA
87,NA,NA,NA,PocGH01_00092000.1-p1,352,GO:0016021,1,integral component of membrane,Cellular Component,1114640806,SCA48162,NA
88,NA,NA,NA,PocGH01_00094000.1-p1,399,GO:0016021,1,integral component of membrane,Cellular Component,1036540519,SBS95584,NA
89,NA,NA,NA,PocGH01_00021800.1-p1,349,GO:0016021,1,integral component of membrane,Cellular Component,1114640703,SBT83177,NA
90,NA,NA,NA,PocGH01_00022100.1-p1,356,GO:0016021,1,integral component of membrane,Cellular Component,1114640706;1037164700,SBT02957;SBT83180,NA
91,NA,NA,NA,PocGH01_00096600.1-p1,306,,NA,,,1104601499,SBT74399,NA
92,NA,NA,NA,PocGH01_00022950.1-p1,342,,NA,,,1104610059,SBT73213,NA
93,NA,NA,NA,PocGH01_00107000.1-p1,356,GO:0016021,1,integral component of membrane,Cellular Component,1114640619,SBT83270,NA
94,NA,NA,NA,PocGH01_00108200.1-p1,356,,NA,,,1114640625;1037170361,SBS99028;SBT83283,NA
95,NA,NA,NA,PocGH01_00110600.1-p1,357,GO:0016021,1,integral component of membrane,Cellular Component,1114640570,SBT83312,NA
96,NA,NA,NA,PocGH01_00111400.1-p1,364,GO:0016020,1,membrane,Cellular Component,1036544217;1114640556,SBS90647;SBT83321,NA
97,NA,NA,NA,PocGH01_00027500.1-p1,345,GO:0016021,1,integral component of membrane,Cellular Component,1114640357,SBT83526,NA
98,NA,NA,NA,PocGH01_00125900.1-p1,330,GO:0016021,1,integral component of membrane,Cellular Component,1114640402,SBT83504,NA
99,NA,NA,NA,PocGH01_00126600.1-p1,350,GO:0016021,1,integral component of membrane,Cellular Component,1114640375,SBT83510,NA
100,NA,NA,NA,PocGH01_00128300.1-p1,429,GO:0016021,1,integral component of membrane,Cellular Component,1114640341,SBT83535,NA
101,NA,NA,NA,PocGH01_00133200.1-p1,344,GO:0016021,1,integral component of membrane,Cellular Component,1114640288,SBT83592,NA
102,NA,NA,NA,PocGH01_00138950.1-p1,282,,NA,,,1037145313;1037156478,SBT55120;SBT56289,NA
103,NA,NA,NA,PocGH01_00139900.1-p1,287,,NA,,,1037165296;1036550628,SBT02655;SBS80133,NA
104,NA,NA,NA,PocGH01_00146500.1-p1,143,,NA,,,1114640108,SBT83756,NA
105,NA,NA,NA,PocGH01_00148100.1-p1,359,GO:0016020,1,membrane,Cellular Component,1114640069,SBT83777,NA
106,NA,NA,NA,PocGH01_00013000.1-p1,340,GO:0016021,1,integral component of membrane,Cellular Component,1114639671;1036550800;1037169102,SBS79991;SBT00130;SBT84150,NA
107,NA,NA,NA,PocGH01_00152700.1-p1,361,GO:0016021,1,integral component of membrane,Cellular Component,1036544287;1114640014,SBS90545;SBT83848,NA
108,NA,NA,NA,PocGH01_00155700.1-p1,88,GO:0016021,1,integral component of membrane,Cellular Component,1037145041,SBT55422,NA
109,NA,NA,NA,PocGH01_00033800.1-p1,362,GO:0016020,1,membrane,Cellular Component,1114639913,SBT83924,NA
110,NA,NA,NA,PocGH01_00033900.1-p1,360,GO:0016021,1,integral component of membrane,Cellular Component,1114639914,SBT83925,NA
111,NA,NA,NA,PocGH01_00034000.1-p1,364,GO:0016021,1,integral component of membrane,Cellular Component,1114639915,SBT83926,NA
112,NA,NA,NA,PocGH01_00034100.1-p1,360,GO:0016021,1,integral component of membrane,Cellular Component,1036540929;1114639916,SBS95130;SBT83927,NA
113,NA,NA,NA,PocGH01_00157300.1-p1,343,GO:0016021,1,integral component of membrane,Cellular Component,1114639948,SBT83905,NA
114,NA,NA,NA,PocGH01_00158800.1-p1,356,GO:0016021,1,integral component of membrane,Cellular Component,1114639929,SBT83920,NA
115,NA,NA,NA,PocGH01_00160500.1-p1,338,GO:0016021,1,integral component of membrane,Cellular Component,1114639907,SBT83945,NA
116,NA,NA,NA,PocGH01_00164250.1-p1,315,,NA,,,1036545242,SBS89095,NA
117,NA,NA,NA,PocGH01_00165900.1-p1,316,GO:0016021,1,integral component of membrane,Cellular Component,1114639803,SBT84019,NA
118,NA,NA,NA,PocGH01_00169300.1-p1,319,GO:0016020,1,membrane,Cellular Component,1036540737,SBS95339,NA
119,NA,NA,NA,PocGH01_00172000.1-p1,370,GO:0016021,1,integral component of membrane,Cellular Component,1114639723,SBT84095,NA
120,NA,NA,NA,PocGH01_00172300.1-p1,300,,NA,,,1036543403,SBS91861,NA
121,NA,NA,NA,PocGH01_00177100.1-p1,366,GO:0016021,1,integral component of membrane,Cellular Component,1114639648,SBT84170,NA
122,NA,NA,NA,PocGH01_00177800.1-p1,359,GO:0016021,1,integral component of membrane,Cellular Component,1036543517;1114639624;1037167822,SBS91733;SBT01179;SBT84181,NA
123,NA,NA,NA,PocGH01_00040900.1-p1,355,GO:0016020,1,membrane,Cellular Component,1036543978;1114639543,SBS91066;SBT84240,NA
124,NA,NA,NA,PocGH01_00181000.1-p1,358,GO:0016021,1,integral component of membrane,Cellular Component,1114639572;1036542447,SBS93209;SBT84220,NA
125,NA,NA,NA,PocGH01_00181500.1-p1,365,GO:0016021,1,integral component of membrane,Cellular Component,1036543649;1114639562,SBS91570;SBT84227,NA
126,NA,NA,NA,PocGH01_00187200.1-p1,358,GO:0016021,1,integral component of membrane,Cellular Component,1114639473;1037167500,SBT01435;SBT84298,NA
127,NA,NA,NA,PocGH01_00190100.1-p1,359,GO:0016021,1,integral component of membrane,Cellular Component,1114639411,SBT84331,NA
128,NA,NA,NA,PocGH01_00192300.1-p1,214,GO:0016021,1,integral component of membrane,Cellular Component,1114639384,SBT84358,NA
129,NA,NA,NA,PocGH01_00192400.1-p1,319,GO:0016020,1,membrane,Cellular Component,1037165852;1036544679,SBS89894;SBT02366,NA
130,NA,NA,NA,PocGH01_00198600.1-p1,357,GO:0016021,1,integral component of membrane,Cellular Component,1114639254,SBT84457,NA
131,NA,NA,NA,PocGH01_00200500.1-p1,339,GO:0016021,1,integral component of membrane,Cellular Component,1114639233,SBT84481,NA
132,NA,NA,NA,PocGH01_00203100.1-p1,410,GO:0016021,1,integral component of membrane,Cellular Component,1036547912;1037169761,SBS84743;SBS99597,NA
133,NA,NA,NA,PocGH01_00206000.1-p1,277,GO:0016021,1,integral component of membrane,Cellular Component,1114639134,SBT84554,NA
134,NA,NA,NA,PocGH01_00206100.1-p1,369,GO:0016021,1,integral component of membrane,Cellular Component,1114639135,SBT84555,NA
135,NA,NA,NA,PocGH01_00207200.1-p1,336,GO:0016021,1,integral component of membrane,Cellular Component,1114639114,SBT84565,NA
136,NA,NA,NA,PocGH01_00049100.1-p1,361,GO:0016021,1,integral component of membrane,Cellular Component,1114639024,SBT84643,NA
137,NA,NA,NA,PocGH01_00208100.1-p1,191,,NA,,,1114639092,SBT84580,NA
138,NA,NA,NA,PocGH01_00210700.1-p1,360,GO:0016021,1,integral component of membrane,Cellular Component,1114639076,SBT84607,NA
139,NA,NA,NA,PocGH01_00216800.1-p1,360,GO:0016021,1,integral component of membrane,Cellular Component,1114639002,SBT84678,NA
140,NA,NA,NA,PocGH01_00222300.1-p1,359,GO:0016021,1,integral component of membrane,Cellular Component,1037167974;1114638936,SBT01046;SBT84735,NA
141,NA,NA,NA,PocGH01_00228300.1-p1,316,GO:0016021,1,integral component of membrane,Cellular Component,1114638884,SBT84801,NA
142,NA,NA,NA,PocGH01_00229000.1-p1,353,GO:0016021,1,integral component of membrane,Cellular Component,1114638876,SBT84808,NA
143,NA,NA,NA,PocGH01_00230000.1-p1,316,GO:0016021,1,integral component of membrane,Cellular Component,1114638869,SBT84819,NA
144,NA,NA,NA,PocGH01_00230200.1-p1,334,GO:0016021,1,integral component of membrane,Cellular Component,1114638871,SBT84821,NA
145,NA,NA,NA,PocGH01_00235000.1-p1,106,GO:0016021,1,integral component of membrane,Cellular Component,1114638807,SBT84871,NA
146,NA,NA,NA,PocGH01_00235800.1-p1,321,GO:0016021,1,integral component of membrane,Cellular Component,1114638802,SBT84879,NA
147,NA,NA,NA,PocGH01_00053700.1-p1,364,GO:0016021,1,integral component of membrane,Cellular Component,1037170097;1036543604;1114638716,SBS91632;SBS99302;SBT84958,NA
148,NA,NA,NA,PocGH01_00053800.1-p1,358,GO:0016021,1,integral component of membrane,Cellular Component,1036543603;1114638717,SBS91630;SBT84959,NA
149,NA,NA,NA,PocGH01_00055900.1-p1,330,GO:0016021,1,integral component of membrane,Cellular Component,1114638680,SBT84989,NA
150,NA,NA,NA,PocGH01_00059000.1-p1,359,GO:0016021,1,integral component of membrane,Cellular Component,1114638653,SBT85020,NA
151,NA,NA,NA,PocGH01_00059100.1-p1,376,GO:0016021,1,integral component of membrane,Cellular Component,1114638654,SBT85021,NA
152,NA,NA,NA,PocGH01_00065800.1-p1,357,GO:0016020,1,membrane,Cellular Component,1114638566;1036545231,SBS89172;SBT85091,NA
153,NA,NA,NA,PocGH01_00069100.1-p1,411,GO:0016021,1,integral component of membrane,Cellular Component,1036542022,SBS93772,NA
154,NA,NA,NA,PocGH01_00069800.1-p1,337,,NA,,,1037155618;1037142854,SBT57202;SBT57750,NA
155,"P.cynomolgi, P.ovale, P.vivax and P.gaboni",1,6,NA,NA,NA,NA,NA,NA,NA,NA,OG0007912
156,NA,NA,NA,PCYB_147790-t26_1-p1,235,GO:0016020,1,membrane,Cellular Component,389586622;457878386,XP_004225298;GAB69351,NA
157,NA,NA,NA,PGSY75_0021800-t31_1-p1,568,,NA,,,1084963539;1011097917,KYN93312;XP_018638862,NA
158,NA,NA,NA,PocGH01_00022200.1-p1,387,GO:0016021,1,integral component of membrane,Cellular Component,1114640707,SBT83182,NA
159,NA,NA,NA,PocGH01_00032800.1-p1,311,,NA,,,1036545201;1114639979;1037170718,SBS98742;SBS89130;SBT83874,NA
160,NA,NA,NA,PocGH01_00174900.1-p1,330,,NA,,,1114639692,SBT84132,NA
161,NA,NA,NA,PVX_101575.1-p1,466,GO:0016020,1,membrane,Cellular Component,1714587638,VUZ99234,NA
162,"P.cynomolgi, P.ovale, P.vivax and P.malariae",2,179,NA,NA,NA,NA,NA,NA,NA,NA,"OG0000083 ""OG0003173"""
163,NA,NA,NA,PCYB_095340-t26_1-p1,321,,NA,,,457871554;389584016,GAB66750;XP_004222697,NA
164,NA,NA,NA,PCYB_003530-t26_1-p1,225,GO:0016021,1,integral component of membrane,Cellular Component,457875400;389560980,XP_004227822;GAB69604,NA
165,NA,NA,NA,PCYB_004100-t26_1-p1,150,GO:0016021,1,integral component of membrane,Cellular Component,457875918;389561154,GAB69661;XP_004227879,NA
166,NA,NA,NA,PCYB_004350-t26_1-p1,150,GO:0016021,1,integral component of membrane,Cellular Component,457876153;389561238,XP_004227904;GAB69686,NA
167,NA,NA,NA,PCYB_006010-t26_1-p1,176,GO:0016021,1,integral component of membrane,Cellular Component,457877656;389561783,XP_004228070;GAB69852,NA
168,NA,NA,NA,PCYB_006020-t26_1-p1,245,GO:0016021,1,integral component of membrane,Cellular Component,457877659;389561790,XP_004228071;GAB69853,NA
169,NA,NA,NA,PCYB_006320-t26_1-p1,162,GO:0016021,1,integral component of membrane,Cellular Component,457877929;389561908,GAB69883;XP_004228101,NA
170,NA,NA,NA,PCYB_006950-t26_1-p1,202,,NA,,,457878571;389562146,XP_004228164;GAB69946,NA
171,NA,NA,NA,PCYB_007190-t26_1-p1,89,,NA,,,457878763;389562235,XP_004228188;GAB69970,NA
172,NA,NA,NA,PCYB_007550-t26_1-p1,180,GO:0016021,1,integral component of membrane,Cellular Component,457878982;389562423,GAB70006;XP_004228224,NA
173,NA,NA,NA,PCYB_007890-t26_1-p1,158,GO:0016021,1,integral component of membrane,Cellular Component,389562600;457879084,XP_004228258;GAB70040,NA
174,NA,NA,NA,PCYB_007980-t26_1-p1,202,,NA,,,389562641;457879111,XP_004228267;GAB70049,NA
175,NA,NA,NA,PCYB_008190-t26_1-p1,106,GO:0016020,1,membrane,Cellular Component,389562731;457879174,GAB70070;XP_004228288,NA
176,NA,NA,NA,PCYB_008300-t26_1-p1,234,GO:0016021,1,integral component of membrane,Cellular Component,389562788;457879207,GAB70081;XP_004228299,NA
177,NA,NA,NA,PCYB_008310-t26_1-p1,168,,NA,,,457879210;389562790,XP_004228300;GAB70082,NA
178,NA,NA,NA,PmUG01_01011300.1-p1,285,,NA,,,1070251192;1624458844,XP_028860117;SBT87054,NA
179,NA,NA,NA,PmUG01_01033100.1-p1,263,,NA,,,1037129849,SBT00343,NA
180,NA,NA,NA,PmUG01_01033600.1-p1,213,,NA,,,1037128689,SBT01526,NA
181,NA,NA,NA,PmUG01_01034900.1-p1,292,,NA,,,1070251192;1624458844,XP_028860117;SBT87054,NA
182,NA,NA,NA,PmUG01_03035550.1-p1,290,,NA,,,1070251192;1624458844,XP_028860117;SBT87054,NA
183,NA,NA,NA,PmUG01_04010500.1-p1,205,,NA,,,1037131738,SBS98505,NA
184,NA,NA,NA,PmUG01_04010900.1-p1,217,GO:0016021,1,integral component of membrane,Cellular Component,1070251583;1624459626,XP_028859571;SBT86415,NA
185,NA,NA,NA,PmUG01_04031000.1-p1,283,,NA,,,1037135511,SBS94044,NA
186,NA,NA,NA,PmUG01_05010600.1-p1,295,,NA,,,1624470051;1114638113;1070251776;1624460012,XP_028860275;SBT87244;XP_028859200;SBT85933,NA
187,NA,NA,NA,PmUG01_05042800.1-p1,212,GO:0016021,1,integral component of membrane,Cellular Component,1624460602;1070252071,XP_028860570;SBT87565,NA
188,NA,NA,NA,PmUG01_07050300.1-p1,213,GO:0016021,1,integral component of membrane,Cellular Component,1070252620;1624461700,XP_028860960;SBT88039,NA
189,NA,NA,NA,PmUG01_08012900.1-p1,218,GO:0016021,1,integral component of membrane,Cellular Component,1624461776;1070252659,XP_028860998;SCN12004,NA
190,NA,NA,NA,PmUG01_08015500.1-p1,203,GO:0016021,1,integral component of membrane,Cellular Component,1624461776;1070252659,XP_028860998;SCN12004,NA
191,NA,NA,NA,PmUG01_08058550.1-p1,242,,NA,,,1070251192;1624458844,XP_028860117;SBT87054,NA
192,NA,NA,NA,PmUG01_09011350.1-p1,195,,NA,,,1070252620;1624461700,XP_028860960;SBT88039,NA
193,NA,NA,NA,PmUG01_09057100.1-p1,299,,NA,,,1037131828;1624463573;1070253553,XP_028861891;SCN12995;SBS98347,NA
194,NA,NA,NA,PmUG01_10051200.1-p1,218,GO:0016021,1,integral component of membrane,Cellular Component,1624464356;1070253940,SCN45318;XP_028862277,NA
195,NA,NA,NA,PmUG01_10053200.1-p1,292,,NA,,,1624464384;1070253954,XP_028862291;SCN45356,NA
196,NA,NA,NA,PmUG01_11013100.1-p1,291,,NA,,,1624464470;1070253996,SCO92881;XP_028862332,NA
197,NA,NA,NA,PmUG01_13065900.1-p1,207,,NA,,,1624464356;1070253940,SCN45318;XP_028862277,NA
198,NA,NA,NA,PmUG01_13066700.1-p1,212,,NA,,,1037134420,SBS95661,NA
199,NA,NA,NA,PmUG01_14014850.1-p1,240,,NA,,,1037129470,SBT00733,NA
200,NA,NA,NA,PmUG01_00010250.1-p1,281,,NA,,,1070251192;1624458844,XP_028860117;SBT87054,NA
201,NA,NA,NA,PmUG01_00027750.1-p1,194,,NA,,,1624461776;1070252659,XP_028860998;SCN12004,NA
202,NA,NA,NA,PmUG01_00030200.1-p1,232,GO:0016021,1,integral component of membrane,Cellular Component,1114638450;1624469388,XP_028858882;SBT85474,NA
203,NA,NA,NA,PmUG01_00030500.1-p1,233,,NA,,,1037129470,SBT00733,NA
204,NA,NA,NA,PmUG01_00030600.1-p1,218,GO:0016021,1,integral component of membrane,Cellular Component,1624469394;1114638453,SBT85478;XP_028858885,NA
